city,cloudiness,country,dates,humidity,latitude,longitude,temperature,windspeed
jamestown,90,US,1619759624,100,42.097,-79.2353,45.0,13.8
diffa,39,NE,1619759910,12,13.3154,12.6113,79.57,8.86
emba,0,KZ,1619759911,40,48.8264,58.1442,55.2,7.2
muros,8,ES,1619759913,95,42.7762,-9.0603,42.01,7.83
kirkland lake,100,CA,1619759915,47,48.1446,-80.0377,55.4,6.17
atar,86,MR,1619759916,39,20.5169,-13.0499,75.61,5.32
kanye,69,BW,1619759918,89,-24.9667,25.3327,55.8,6.55
boromo,10,BF,1619759919,54,11.75,-2.9333,84.18,7.11
domoni,34,KM,1619759921,75,-12.2569,44.5319,81.99,3.31
bambous virieux,75,MU,1619759923,83,-20.3428,57.7575,80.01,17.27
betsiamites,1,CA,1619759924,61,48.9413,-68.646,44.6,8.05
hualmay,0,PE,1619759297,90,-11.0964,-77.6139,65.84,8.21
tomino,0,ES,1619759927,87,41.9877,-8.755,50.0,5.75
nueva italia,0,PY,1619759929,82,-25.6167,-57.5,57.2,4.61
ribeira grande,100,PT,1619759930,65,38.5167,-28.7,57.51,7.34
mehran,0,IR,1619759933,27,33.1222,46.1646,77.0,2.3
bathsheba,40,BB,1619759935,65,13.2167,-59.5167,78.8,13.8
nuuk,90,GL,1619759936,100,64.1835,-51.7216,28.4,2.3
vieksniai,90,LT,1619759938,100,56.2333,22.5167,41.0,9.22
ozieri,0,IT,1619759939,100,40.586,9.0012,46.4,1.14
mancio lima,18,BR,1619759941,94,-7.6142,-72.8958,69.35,2.75
mga,100,RU,1619759942,1,59.75,31.0667,42.01,4.43
bandar-e lengeh,81,IR,1619759944,66,26.5579,54.8807,91.4,9.22
grand-lahou,98,CI,1619759499,86,5.1367,-5.0242,79.11,5.23
sidi ali,48,DZ,1619759947,81,36.0998,0.4206,56.3,4.76
hithadhoo,52,MV,1619759950,70,-0.6,73.0833,84.11,5.97
sorgun,100,TR,1619759952,57,39.8101,35.186,59.13,17.98
mogadishu,75,SO,1619759954,70,2.0371,45.3438,84.2,5.75
saint-francois,75,FR,1619759956,93,46.4154,3.9054,46.4,6.91
